doctor_id,first_name,last_name,phone,email,years_of_experience,license_number,department_id,created_at
1,Leonie,Ernser,+18123589359,Terrance65@hotmail.com,25,ecIoPsyIcr,1,2026-04-08T13:43:32.719Z
2,Jerrold,Lueilwitz,+15252186645,Bettie30@gmail.com,30,Nv8HnTwsS1,3,2026-04-08T13:43:32.719Z
3,Sara,Kuphal,+12632546880,Laurie50@hotmail.com,33,X0EEClcCzi,3,2026-04-08T13:43:32.719Z
4,Lionel,Torphy,+13572168453,Darryl6@gmail.com,4,P8V6GpDrxb,1,2026-04-08T13:43:32.719Z
5,Jody,Dicki,+16677019025,Fannie_Abshire-Brekke@yahoo.com,3,bnfb7Gjgyj,1,2026-04-08T13:43:32.719Z
6,Donald,Rutherford,+16084632730,Anabel0@hotmail.com,24,XCGpp8BTe9,2,2026-04-08T13:43:32.719Z
7,Wayne,Turner,+18372765029,Gregg.Mosciski@yahoo.com,30,CcDA4Fzx7m,2,2026-04-08T13:43:32.719Z
8,Dexter,Rice,+16747732291,Kristina.Rowe14@yahoo.com,8,QYHJpaCX1D,2,2026-04-08T13:43:32.719Z
9,Kay,Strosin,+19436170153,Roberta53@hotmail.com,37,g6GYplNkvb,3,2026-04-08T13:43:32.719Z
10,Brandyn,Hand,+17726772400,Candice.Kiehn20@yahoo.com,5,JuLap6owcg,4,2026-04-08T13:43:32.719Z
11,Luna,Keeling,+14698690254,Mario34@gmail.com,8,aJhR6mRrIS,1,2026-04-08T13:43:32.719Z
12,Frank,Schiller,+14056647278,Sylvester56@gmail.com,6,fACcA0vull,1,2026-04-08T13:43:32.719Z
13,Janet,Cormier,+19284055705,Kara.Halvorson@gmail.com,29,PP9dunFokS,3,2026-04-08T13:43:32.719Z
14,Amber,Sipes-Altenwerth,+13692565027,Micheal.White@hotmail.com,22,64dnEzirXh,4,2026-04-08T13:43:32.719Z
15,Antwan,Cremin,+13356694468,Ashton32@yahoo.com,9,8Wh3VQYqsC,1,2026-04-08T13:43:32.719Z
16,Jonathan,Herman,+16689668376,Merl_Reinger@gmail.com,22,7Qyq6VW2wP,3,2026-04-08T13:43:32.719Z
17,Laurine,Klocko-Satterfield,+13095136766,Jesus42@gmail.com,25,m7TyAU5ImH,1,2026-04-08T13:43:32.719Z
18,Elizabeth,Veum,+17506038745,Helen2@hotmail.com,23,wIskEf3VpY,3,2026-04-08T13:43:32.719Z
19,Bryce,O'Connell,+13128919817,Humberto.Hermann75@yahoo.com,23,ZySgzH7dau,3,2026-04-08T13:43:32.719Z
20,Jonas,Denesik,+18334555781,Sean89@yahoo.com,40,7eXSiGYAUK,4,2026-04-08T13:43:32.719Z
21,Wilfred,Parker,+16222093279,Kenneth79@hotmail.com,17,jc8QCIrnK4,4,2026-04-08T13:43:32.719Z
22,Jacqueline,White,+13323287992,Kenton20@yahoo.com,25,MPG6iLA06i,3,2026-04-08T13:43:32.719Z
